"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8848","should upload a 3mb-file.pdf file","webkit","Tue Mar 11 15:20:29 CDT 2025","passed","Tue Mar 11 15:20:38 CDT 2025","Upload file","upload.spec.ts","",""
"","1741","verify","chromium","Tue Mar 11 15:20:04 CDT 2025","passed","Tue Mar 11 15:20:06 CDT 2025","blog","blog.spec.ts","",""
"","753","get started link","webkit","Tue Mar 11 15:20:25 CDT 2025","passed","Tue Mar 11 15:20:26 CDT 2025","","example.spec.ts","",""
"","2147","should upload a test file on a hidden input field","chromium","Tue Mar 11 15:20:09 CDT 2025","passed","Tue Mar 11 15:20:12 CDT 2025","Upload file","upload.spec.ts","",""
"","1476","Open Homepage and verify title","webkit","Tue Mar 11 15:20:26 CDT 2025","passed","Tue Mar 11 15:20:27 CDT 2025","Home","home.spec.ts","",""
"","0","Check the title of the About page","webkit","Tue Mar 11 15:20:26 CDT 2025","skipped","Tue Mar 11 15:20:26 CDT 2025","Home","home.spec.ts","",""
"","711","get started link","firefox","Tue Mar 11 15:20:15 CDT 2025","passed","Tue Mar 11 15:20:16 CDT 2025","","example.spec.ts","",""
"","1471","Verify home link is enabled using text and css selector","webkit","Tue Mar 11 15:20:27 CDT 2025","passed","Tue Mar 11 15:20:29 CDT 2025","Home","home.spec.ts","",""
"","2825","Access orders","webkit","Tue Mar 11 15:20:21 CDT 2025","passed","Tue Mar 11 15:20:24 CDT 2025","My Account","account.spec.ts","",""
"","1440","Verify text of all nav links","firefox","Tue Mar 11 15:20:18 CDT 2025","passed","Tue Mar 11 15:20:20 CDT 2025","Home","home.spec.ts","",""
"","1800","verify","firefox","Tue Mar 11 15:20:13 CDT 2025","passed","Tue Mar 11 15:20:15 CDT 2025","blog","blog.spec.ts","",""
"","567","has title","webkit","Tue Mar 11 15:20:24 CDT 2025","passed","Tue Mar 11 15:20:25 CDT 2025","","example.spec.ts","",""
"","3424","should upload a test file on a hidden input field","webkit","Tue Mar 11 15:20:29 CDT 2025","passed","Tue Mar 11 15:20:32 CDT 2025","Upload file","upload.spec.ts","",""
"","2048","Access orders","chromium","Tue Mar 11 15:20:04 CDT 2025","passed","Tue Mar 11 15:20:06 CDT 2025","My Account","account.spec.ts","",""
"","3771","Submit contact form","chromium","Tue Mar 11 15:20:06 CDT 2025","failed","Tue Mar 11 15:20:10 CDT 2025","Contact page","contact.spec.ts","",""
"","1457","Verify search icon is visible using xpath selector","webkit","Tue Mar 11 15:20:27 CDT 2025","passed","Tue Mar 11 15:20:29 CDT 2025","Home","home.spec.ts","",""
"","2015","Access Downloads","chromium","Tue Mar 11 15:20:04 CDT 2025","passed","Tue Mar 11 15:20:06 CDT 2025","My Account","account.spec.ts","",""
"","1","Check the title of the About page","chromium","Tue Mar 11 15:20:07 CDT 2025","skipped","Tue Mar 11 15:20:07 CDT 2025","Home","home.spec.ts","",""
"","1520","Verify search icon is visible using xpath selector","firefox","Tue Mar 11 15:20:18 CDT 2025","passed","Tue Mar 11 15:20:19 CDT 2025","Home","home.spec.ts","",""
"","1357","Verify heding text is visible using text selector","chromium","Tue Mar 11 15:20:07 CDT 2025","passed","Tue Mar 11 15:20:08 CDT 2025","Home","home.spec.ts","",""
"","1489","Click get started button using CSS selector","chromium","Tue Mar 11 15:20:07 CDT 2025","passed","Tue Mar 11 15:20:08 CDT 2025","Home","home.spec.ts","",""
"","1388","Click get started button using CSS selector","firefox","Tue Mar 11 15:20:16 CDT 2025","passed","Tue Mar 11 15:20:17 CDT 2025","Home","home.spec.ts","",""
"","1213","Open Homepage and verify title","chromium","Tue Mar 11 15:20:06 CDT 2025","passed","Tue Mar 11 15:20:08 CDT 2025","Home","home.spec.ts","",""
"","522","has title","firefox","Tue Mar 11 15:20:15 CDT 2025","passed","Tue Mar 11 15:20:16 CDT 2025","","example.spec.ts","",""
"","3093","should upload a logo.png file","chromium","Tue Mar 11 15:20:09 CDT 2025","passed","Tue Mar 11 15:20:12 CDT 2025","Upload file","upload.spec.ts","",""
"","4438","should upload a 3mb-file.pdf file","firefox","Tue Mar 11 15:20:19 CDT 2025","passed","Tue Mar 11 15:20:24 CDT 2025","Upload file","upload.spec.ts","",""
"","1817","Verify login and register is visible","chromium","Tue Mar 11 15:20:04 CDT 2025","passed","Tue Mar 11 15:20:06 CDT 2025","Account page","account.spec.ts","",""
"","1356","Verify home link is enabled using text and css selector","firefox","Tue Mar 11 15:20:17 CDT 2025","passed","Tue Mar 11 15:20:19 CDT 2025","Home","home.spec.ts","",""
"","1417","Verify heding text is visible using text selector","firefox","Tue Mar 11 15:20:17 CDT 2025","passed","Tue Mar 11 15:20:18 CDT 2025","Home","home.spec.ts","",""
"","1461","Click get started button using CSS selector","webkit","Tue Mar 11 15:20:26 CDT 2025","passed","Tue Mar 11 15:20:27 CDT 2025","Home","home.spec.ts","",""
"","1194","Verify text of all nav links","chromium","Tue Mar 11 15:20:08 CDT 2025","passed","Tue Mar 11 15:20:09 CDT 2025","Home","home.spec.ts","",""
"","2539","Access orders","firefox","Tue Mar 11 15:20:10 CDT 2025","passed","Tue Mar 11 15:20:13 CDT 2025","My Account","account.spec.ts","",""
"","2528","Access Downloads","webkit","Tue Mar 11 15:20:22 CDT 2025","passed","Tue Mar 11 15:20:24 CDT 2025","My Account","account.spec.ts","",""
"","2403","should upload a logo.png file","firefox","Tue Mar 11 15:20:19 CDT 2025","passed","Tue Mar 11 15:20:21 CDT 2025","Upload file","upload.spec.ts","",""
"","0","Check the title of the About page","firefox","Tue Mar 11 15:20:16 CDT 2025","skipped","Tue Mar 11 15:20:16 CDT 2025","Home","home.spec.ts","",""
"","1392","Verify text of all nav links","webkit","Tue Mar 11 15:20:27 CDT 2025","passed","Tue Mar 11 15:20:29 CDT 2025","Home","home.spec.ts","",""
"","1587","Verify heding text is visible using text selector","webkit","Tue Mar 11 15:20:27 CDT 2025","passed","Tue Mar 11 15:20:29 CDT 2025","Home","home.spec.ts","",""
"","502","has title","chromium","Tue Mar 11 15:20:06 CDT 2025","passed","Tue Mar 11 15:20:07 CDT 2025","","example.spec.ts","",""
"","3678","should upload a test file on a hidden input field","firefox","Tue Mar 11 15:20:20 CDT 2025","passed","Tue Mar 11 15:20:23 CDT 2025","Upload file","upload.spec.ts","",""
"","493","get started link","chromium","Tue Mar 11 15:20:06 CDT 2025","passed","Tue Mar 11 15:20:07 CDT 2025","","example.spec.ts","",""
"","1411","Verify home link is enabled using text and css selector","chromium","Tue Mar 11 15:20:08 CDT 2025","passed","Tue Mar 11 15:20:09 CDT 2025","Home","home.spec.ts","",""
"","2994","Submit contact form","webkit","Tue Mar 11 15:20:24 CDT 2025","passed","Tue Mar 11 15:20:27 CDT 2025","Contact page","contact.spec.ts","",""
"","11331","should upload a 3mb-file.pdf file","chromium","Tue Mar 11 15:20:09 CDT 2025","failed","Tue Mar 11 15:20:21 CDT 2025","Upload file","upload.spec.ts","",""
"","2842","Submit contact form","firefox","Tue Mar 11 15:20:15 CDT 2025","passed","Tue Mar 11 15:20:18 CDT 2025","Contact page","contact.spec.ts","",""
"","2717","Access Downloads","firefox","Tue Mar 11 15:20:12 CDT 2025","passed","Tue Mar 11 15:20:15 CDT 2025","My Account","account.spec.ts","",""
"","1332","Verify search icon is visible using xpath selector","chromium","Tue Mar 11 15:20:08 CDT 2025","passed","Tue Mar 11 15:20:09 CDT 2025","Home","home.spec.ts","",""
"","3406","should upload a logo.png file","webkit","Tue Mar 11 15:20:29 CDT 2025","passed","Tue Mar 11 15:20:32 CDT 2025","Upload file","upload.spec.ts","",""
"","2245","verify","webkit","Tue Mar 11 15:20:25 CDT 2025","passed","Tue Mar 11 15:20:27 CDT 2025","blog","blog.spec.ts","",""
"","1842","Verify login and register is visible","webkit","Tue Mar 11 15:20:24 CDT 2025","passed","Tue Mar 11 15:20:26 CDT 2025","Account page","account.spec.ts","",""
"","1309","Open Homepage and verify title","firefox","Tue Mar 11 15:20:16 CDT 2025","passed","Tue Mar 11 15:20:17 CDT 2025","Home","home.spec.ts","",""
"","2083","Verify login and register is visible","firefox","Tue Mar 11 15:20:12 CDT 2025","passed","Tue Mar 11 15:20:14 CDT 2025","Account page","account.spec.ts","",""
